date,home_team,away_team,home_score,away_score,neutral,home_form,away_form,form_diff,elo_home,elo_away,elo_diff
1990-05-08,Andalusia,Uruguay,1.0,1.0,0,0,7,-7,1500.0,1747.912863758348,-247.91286375834807
1990-05-09,United States,Poland,3.0,1.0,0,6,8,-2,1606.3268063876465,1517.4641896245078,88.8626167631387
1990-05-13,Brazil,German DR,3.0,3.0,0,3,12,-9,1842.4754136213787,1539.1319944332301,303.3434191881486
1990-05-13,Canada,Mexico,2.0,1.0,0,0,9,-9,1500.0,1683.0869776933362,-183.08697769333617
1990-05-13,Dominica,French Guiana,1.0,1.0,0,0,0,0,1490.0,1490.0,0.0
1990-05-13,Saint Lucia,Bermuda,0.0,2.0,0,0,4,-4,1489.9834498601524,1494.429929214574,-4.446479354421626
1990-05-15,England,Denmark,1.0,0.0,0,6,5,1,1862.0889249210118,1648.089485440674,213.99943948033774
1990-05-15,Grenada,Suriname,3.0,1.0,1,1,3,-2,1500.0,1510.0,-10.0
1990-05-16,Scotland,Egypt,1.0,3.0,0,3,3,0,1507.8047803755458,1467.5702572532225,40.23452312232325
1990-05-16,Republic of Ireland,Finland,1.0,1.0,0,6,4,2,1520.8482752272905,1502.998341907711,17.849933319579577
1990-05-16,Israel,Russia,3.0,2.0,0,0,10,-10,1480.8387354070949,1528.6948224619423,-47.85608705484742
1990-05-17,Barbados,Suriname,5.0,0.0,0,9,3,6,1518.5867413659066,1499.71225631668,18.874485049226678
1990-05-18,Mauritania,Gambia,2.0,0.0,0,0,0,0,1500.0,1490.0,10.0
1990-05-18,Northern Ireland,Uruguay,1.0,0.0,0,0,8,-8,1490.2794684162,1741.7838789339432,-251.50441051774328
1990-05-18,Zimbabwe,Eswatini,4.0,4.0,0,6,3,3,1509.1537822632934,1499.71225631668,9.44152594661341
1990-05-19,Scotland,Poland,1.0,1.0,0,3,5,-2,1496.6518867849945,1509.967511445443,-13.31562466044852
1990-05-19,Saint Kitts and Nevis,Guadeloupe,2.0,0.0,0,3,3,0,1499.7287935411387,1500.550443796566,-0.8216502554273575
1990-05-20,Guyana,Curaçao,1.0,1.0,0,0,1,-1,1490.0,1500.0,-10.0
1990-05-20,Jamaica,Saint Martin,1.0,0.0,0,9,6,3,1520.534139868581,1520.016312544304,0.5178273242770501
1990-05-20,Wales,Costa Rica,1.0,0.0,0,0,3,-3,1480.5274207157115,1489.987336859054,-9.459916143342525
1990-05-21,Romania,Egypt,1.0,0.0,0,8,6,2,1513.0832122812224,1478.7231508437737,34.36006143744862
1990-05-21,Poland,United Arab Emirates,4.0,0.0,1,5,2,3,1509.5844444961785,1483.2759845323274,26.308459963851192
1990-05-22,England,Uruguay,1.0,2.0,0,9,5,4,1866.6059766499832,1725.5907612100452,141.01521543993795
1990-05-22,Israel,Argentina,1.0,2.0,0,3,2,1,1492.207498931601,1806.1827337391417,-313.9752348075406
1990-05-26,Bermuda,Barbados,1.0,1.0,0,7,12,-5,1504.3019562378681,1528.0440238050144,-23.74206756714625
1990-05-26,Gambia,Burkina Faso,0.0,0.0,0,0,0,0,1480.28774368332,1500.0,-19.71225631667994
1990-05-26,Belgium,Romania,2.0,2.0,0,1,10,-9,1727.9795714193424,1522.0974618195369,205.88210959980552
1990-05-26,Turkey,Republic of Ireland,0.0,0.0,0,0,7,-7,1493.8728365639272,1520.3349643992076,-26.4621278352804
1990-05-26,Yugoslavia,Spain,0.0,1.0,0,1,3,-2,1500.5323404652688,1834.6796168180622,-334.14727635279337
1990-05-26,Germany,Czechoslovakia,1.0,0.0,0,1,0,1,1837.4695188879732,1484.6315457739965,352.83797311397666
1990-05-26,Egypt,Colombia,1.0,1.0,0,6,8,-2,1469.7089013054592,1518.257309636727,-48.548408331267865
1990-05-27,Sweden,Finland,6.0,0.0,0,8,5,3,1517.8140714389538,1503.5116527357939,14.302418703159901
1990-05-27,Georgia,Lithuania,2.0,2.0,0,0,0,0,1500.0,1500.0,0.0
1990-05-27,Guyana,Grenada,0.0,0.0,0,1,4,-3,1490.28774368332,1510.28774368332,-20.0
1990-05-27,Antigua and Barbuda,Saint Lucia,0.0,2.0,0,1,0,1,1470.5249766723164,1480.1114228368583,-9.58644616454194
1990-05-27,Curaçao,Suriname,1.0,1.0,0,2,3,-1,1499.71225631668,1490.2549738775722,9.457282439107757
1990-05-28,Hungary,United Arab Emirates,3.0,0.0,1,3,2,1,1501.4648982614158,1474.0317589453427,27.43313931607304
1990-05-28,Malta,Scotland,1.0,2.0,0,1,4,-3,1483.0399773218319,1497.034953734259,-13.99497641242715
1990-05-29,Bermuda,Barbados,3.0,0.0,0,8,10,-2,1504.9842461755152,1527.3617338673673,-22.37748769185214
1990-05-30,Liechtenstein,United States,1.0,4.0,0,0,9,-9,1400.0,1613.8234845667112,-213.82348456671116
1990-05-30,Martinique,Dominica,0.0,0.0,0,6,1,5,1509.14549997581,1490.0,19.145499975810026
1990-05-30,Guadeloupe,Jamaica,0.0,0.0,0,3,12,-9,1490.526794845281,1530.5192356111465,-39.99244076586547
1990-05-30,French Guiana,Saint Vincent and the Grenadines,2.0,2.0,0,1,3,-2,1490.0,1510.0,-20.0
1990-05-30,Iceland,Albania,2.0,0.0,0,6,0,6,1511.9423370681318,1500.0,11.942337068131792
1990-05-30,Austria,Netherlands,3.0,2.0,0,8,1,7,1534.4085533059713,1734.2765769131272,-199.86802360715592
1990-05-30,Burkina Faso,Ghana,1.0,0.0,0,1,0,1,1499.43324365913,1500.0,-0.5667563408699152
1990-05-30,Italy,Greece,0.0,0.0,0,4,6,-2,1757.1987000039423,1525.7013839134072,231.49731609053515
1990-05-30,Germany,Denmark,1.0,0.0,0,4,5,-1,1839.7890435951426,1643.5724337117026,196.21660988344001
1990-05-31,Andalusia,Yugoslavia,0.0,0.0,0,1,1,0,1506.1289848244048,1497.9829189968846,8.14606582752026
1990-06-01,Jordan,Iraq,0.0,2.0,0,0,1,-1,1500.0,1500.008520096868,-0.008520096868096516
1990-06-02,Belgium,Mexico,3.0,0.0,0,2,9,-7,1722.66211129483,1668.2563877454652,54.40572354936489
1990-06-02,Hungary,Colombia,3.0,1.0,0,6,8,-2,1510.676945860081,1516.868998189331,-6.192052329249918
1990-06-02,Malta,Republic of Ireland,0.0,3.0,0,1,8,-7,1473.4425674065094,1519.5747924800787,-46.132225073569316
1990-06-02,Switzerland,United States,2.0,1.0,0,4,12,-8,1653.4871221982887,1618.3440791753455,35.143043022943175
1990-06-02,Tunisia,England,1.0,1.0,0,0,9,-9,1500.0,1852.7563357574293,-352.75633575742927
1990-06-03,Gambia,Mauritania,2.0,1.0,0,1,3,-2,1480.85450002419,1509.71225631668,-28.857756292489967
1990-06-03,Yugoslavia,Netherlands,0.0,2.0,0,2,1,1,1498.217338664598,1719.084412374311,-220.86707370971294
1990-06-06,Norway,Denmark,1.0,2.0,0,7,5,2,1519.43278790048,1638.6874162107115,-119.25462831023151
1990-06-06,Belgium,Poland,1.0,1.0,0,5,7,-2,1731.1088637863393,1518.8286700831632,212.2801937031761
1990-06-07,Namibia,Mauritius,1.0,2.0,0,0,0,0,1500.0,1490.0,10.0
1990-06-08,Argentina,Cameroon,0.0,1.0,1,5,4,1,1809.0018189145603,1482.2190124399608,326.7828064745995
1990-06-09,United Arab Emirates,Colombia,0.0,2.0,1,1,7,-6,1464.8197113466774,1506.6907954640494,-41.87108411737199
1990-06-09,Soviet Union,Romania,0.0,2.0,1,0,10,-10,1500.0,1527.4149219440492,-27.414921944049183
1990-06-09,Italy,Austria,1.0,0.0,0,5,11,-6,1751.373273664322,1549.6007178447876,201.77255581953432
1990-06-09,Russia,Romania,0.0,2.0,1,9,10,-1,1517.326058937436,1536.6274906275298,-19.30143169009375
1990-06-10,Brazil,Sweden,2.0,1.0,1,4,11,-7,1835.4459939474234,1527.4026471130446,308.0433468343788
1990-06-10,Botswana,Mauritius,0.0,1.0,0,2,3,-1,1490.8627549611654,1500.28774368332,-9.424988722154694
1990-06-10,West Germany,Yugoslavia,4.0,1.0,1,0,2,-2,1500.0,1493.8370296187663,6.162970381233663
1990-06-10,Germany,Yugoslavia,4.0,1.0,1,7,2,5,1844.6740610961338,1484.014395562866,360.6596655332678
1990-06-10,United States,Czechoslovakia,1.0,5.0,1,9,0,9,1609.3521416808305,1482.3120210668271,127.0401206140034
1990-06-11,Costa Rica,Scotland,1.0,0.0,1,3,7,-4,1479.7151258503648,1506.6323636495815,-26.917237799216764
1990-06-11,England,Republic of Ireland,1.0,1.0,1,10,11,-1,1845.076824262441,1528.254748803128,316.82207545931306
1990-06-12,Netherlands,Egypt,1.0,1.0,1,4,7,-3,1723.4647214201425,1471.0972127528553,252.3675086672872
1990-06-12,Belgium,South Korea,2.0,0.0,1,6,5,1,1725.6606170561345,1500.3773339676184,225.2832830885161
1990-06-13,Uruguay,Spain,0.0,0.0,1,5,6,-1,1739.4404021025991,1837.2290382864464,-97.7886361838473
1990-06-13,Argentina,Soviet Union,2.0,0.0,1,5,0,5,1791.6470404938345,1490.7874313165194,300.8596091773152
1990-06-13,Argentina,Russia,2.0,0.0,1,8,6,2,1794.653967584445,1507.881027992348,286.7729395920969
1990-06-14,Cameroon,Romania,2.0,1.0,1,7,13,-6,1499.5737908606866,1546.072521572618,-46.49873071193133
1990-06-14,Italy,United States,1.0,0.0,0,8,9,-1,1756.141184154127,1595.8503244604933,160.2908596936336
1990-06-14,Yugoslavia,Colombia,1.0,0.0,1,1,10,-9,1481.7856115613927,1515.4914495209393,-33.70583795954667
1990-06-15,Austria,Czechoslovakia,0.0,1.0,1,10,3,7,1544.8328073549826,1495.8138382871643,49.01896906781826
1990-06-15,Germany,United Arab Emirates,5.0,1.0,1,10,0,10,1846.902845097607,1456.0190572897875,390.88378780781954
1990-06-15,West Germany,United Arab Emirates,5.0,1.0,1,3,0,3,1509.8226340559004,1454.112254227076,55.71037982882444
1990-06-16,Brazil,Costa Rica,1.0,0.0,1,7,3,4,1838.3487911506572,1490.4883198883524,347.8604712623048
1990-06-16,England,Netherlands,0.0,0.0,1,8,5,3,1837.856455913546,1717.2563133517517,120.6001425617942
1990-06-16,Sweden,Scotland,1.0,2.0,1,8,4,4,1524.4998499098108,1495.8591696115939,28.64068029821692
1990-06-17,South Korea,Spain,1.0,3.0,1,5,7,-2,1496.0833701089525,1834.4864957761833,-338.4031256672308
1990-06-17,Belgium,Uruguay,3.0,1.0,1,9,6,3,1729.9545809148003,1742.1829446128622,-12.228363698061912
1990-06-17,Republic of Ireland,Egypt,0.0,0.0,1,9,5,4,1535.4751171520231,1477.305620821246,58.169496330777065
1990-06-18,Cameroon,Russia,0.0,4.0,1,9,3,6,1510.9041981550504,1504.6610047531929,6.243193401857525
1990-06-18,Argentina,Romania,1.0,1.0,1,10,10,0,1797.8739908236,1534.7421142782541,263.1318765453459
1990-06-18,Cameroon,Soviet Union,0.0,4.0,1,9,0,9,1500.7245239426845,1487.780504225909,12.944019716775529
1990-06-19,Austria,United States,2.0,1.0,1,7,6,1,1533.4312156309784,1590.1621970845886,-56.730981453610184
1990-06-19,Germany,Colombia,1.0,1.0,1,13,7,6,1848.8096481603186,1504.5243495919283,344.2852985683903
1990-06-19,Italy,Czechoslovakia,2.0,0.0,0,11,6,5,1761.8293115300316,1507.2154300111686,254.61388151886308
1990-06-19,Yugoslavia,United Arab Emirates,4.0,1.0,1,4,0,4,1492.7527114904037,1445.702125280889,47.05058620951468
1990-06-19,West Germany,Colombia,1.0,1.0,1,6,5,1,1518.2327630020873,1512.1019472726944,6.130815729392907
